level,taste,service,environment,location,comment_num,name,food_type,avg_cost,url
三星商户,0,0,0,上沙/下沙,0,优优蛋糕(上沙村店),面包甜点,0,http://www.dianping.com/shop/17662808
三星商户,0,0,0,上沙/下沙,0,兄弟潮式汤粉王,粥粉面,0,http://www.dianping.com/shop/20866218
三星商户,0,0,0,上沙/下沙,0,刘记东北一家亲饺子馆,小吃快餐,0,http://www.dianping.com/shop/50604867
三星商户,0,0,0,上沙/下沙,0,四季榴芒(上沙店),面包甜点,0,http://www.dianping.com/shop/23011571
三星商户,0,0,0,上沙/下沙,0,明发茶餐厅,茶餐厅,0,http://www.dianping.com/shop/18246965
三星商户,0,0,0,上沙/下沙,0,檬茶茶,饮品店,0,http://www.dianping.com/shop/10620980
三星商户,0,0,0,上沙/下沙,0,湘里郎木桶饭,小吃快餐,0,http://www.dianping.com/shop/10619368
三星商户,0,0,0,上沙/下沙,0,潮州卤水猪脚饭,粤菜,0,http://www.dianping.com/shop/20735898
三星商户,0,0,0,上沙/下沙,0,鲜牛火锅城(上沙商业街店),火锅,0,http://www.dianping.com/shop/3355294
三星商户,0,0,0,上沙/下沙,1,厨道湖南菜馆,湘菜,￥30,http://www.dianping.com/shop/17997849
三星商户,0,0,0,上沙/下沙,26,U18轻食·手工酸奶(上沙店),饮品店,0,http://www.dianping.com/shop/92134702
三星商户,0,0,0,八卦岭/园岭,0,H·Z CAKE,面包甜点,0,http://www.dianping.com/shop/90467152
三星商户,0,0,0,八卦岭/园岭,0,ill菜鱼府,火锅,0,http://www.dianping.com/shop/68436448
三星商户,0,0,0,八卦岭/园岭,0,McCafe,小吃快餐,￥24,http://www.dianping.com/shop/17248983
三星商户,0,0,0,八卦岭/园岭,0,royaltea皇茶,饮品店,0,http://www.dianping.com/shop/90046482
三星商户,0,0,0,八卦岭/园岭,0,xs功能饮料招商 陈力佳,饮品店,0,http://www.dianping.com/shop/92444088
三星商户,0,0,0,八卦岭/园岭,0,全记港式烧腊,粤菜,0,http://www.dianping.com/shop/79855758
三星商户,0,0,0,八卦岭/园岭,0,八卦一路新奇特烤吧,烧烤,0,http://www.dianping.com/shop/18352498
三星商户,0,0,0,八卦岭/园岭,0,农家湘菜湖南农家风味,小吃快餐,0,http://www.dianping.com/shop/17441473
三星商户,0,0,0,八卦岭/园岭,0,卤智深,小吃快餐,0,http://www.dianping.com/shop/91003355
三星商户,0,0,0,八卦岭/园岭,0,哈尔滨饺子园(园岭店),东北菜,0,http://www.dianping.com/shop/41476705
三星商户,0,0,0,八卦岭/园岭,0,大碴粥,小吃快餐,0,http://www.dianping.com/shop/79792513
三星商户,0,0,0,八卦岭/园岭,0,庞美食街,小吃快餐,0,http://www.dianping.com/shop/80164695
